,Eng,Chinese,No Units,District_x,Address_x,Geo_lat_x,Geo_lng_x,Hospital,Address_y,Geo_lat_y,Geo_lng_y,District_y,Distance(Km),Rank
253,Cheung Fat Estate,???,900,Kwai Tsing District,"Hong Kong, ????8?",22.363246,114.102915,Caritas Medical Centre,"Hong Kong, Sham Shui Po, Wing Hong St, 111????????",22.3414653,114.1531916,Sham Shui Po District,5.711178506,3
287,Cheung Hang Estate,???,4500,Kwai Tsing District,"Tsing Yi, Hong Kong",22.3565993,114.0979035,Yan Chai Hospital,"7-11, Yan Chai St, Tsuen Wan, Hong Kong",22.369713,114.1195962,Tsuen Wan District,2.665771578,1
278,Cheung Hang Estate,???,4500,Kwai Tsing District,"Tsing Yi, Hong Kong",22.3565993,114.0979035,Princess Margaret Hospital,"Princess Margaret Hospital, 2-10 Princess Margaret Hospital Road, Kwai Chung, Hong Kong",22.3415435,114.1338324,Kwai Tsing District,4.057727282,2
271,Cheung Hang Estate,???,4500,Kwai Tsing District,"Tsing Yi, Hong Kong",22.3565993,114.0979035,Caritas Medical Centre,"Hong Kong, Sham Shui Po, Wing Hong St, 111????????",22.3414653,114.1531916,Sham Shui Po District,5.931439092,3
305,Cheung Hong Estate,???,8400,Kwai Tsing District,"Ching Hong Rd, Tsing Yi, Hong Kong",22.350027,114.105611,Yan Chai Hospital,"7-11, Yan Chai St, Tsuen Wan, Hong Kong",22.369713,114.1195962,Tsuen Wan District,2.619891459,1
296,Cheung Hong Estate,???,8400,Kwai Tsing District,"Ching Hong Rd, Tsing Yi, Hong Kong",22.350027,114.105611,Princess Margaret Hospital,"Princess Margaret Hospital, 2-10 Princess Margaret Hospital Road, Kwai Chung, Hong Kong",22.3415435,114.1338324,Kwai Tsing District,3.052736377,2
289,Cheung Hong Estate,???,8400,Kwai Tsing District,"Ching Hong Rd, Tsing Yi, Hong Kong",22.350027,114.105611,Caritas Medical Centre,"Hong Kong, Sham Shui Po, Wing Hong St, 111????????",22.3414653,114.1531916,Sham Shui Po District,4.986578395,3
318,Cheung Kwai Estate,???,500,Islands District,"31 Cheung Kwai Rd, Cheung Chau, Hong Kong",22.2126693,114.0256556,St. John Hospital,"Cheung Chau Hospital Rd, Cheung Chau, Hong Kong",22.208049,114.031519,Islands District,0.792866311,1
310,Cheung Kwai Estate,???,500,Islands District,"31 Cheung Kwai Rd, Cheung Chau, Hong Kong",22.2126693,114.0256556,North Lantau Hospital,"8 Chung Yan Rd, Lantau Island, Hong Kong",22.2820281,113.9392707,Islands District,11.77283516,2
316,Cheung Kwai Estate,???,500,Islands District,"31 Cheung Kwai Rd, Cheung Chau, Hong Kong",22.2126693,114.0256556,Queen Mary Hospital,"Queen Mary Hospital Main Block, Pok Fu Lam Rd, High West, Hong Kong",22.270256,114.1313781,Southern District,12.6290179,3
327,Cheung Lung Wai Estate,????,1358,North District,"21 Ching Hiu Rd, Sheung Shui, Hong Kong",22.4949981,114.1235653,North District Hospital,"9 Po Kin Road, Sheung Shui, Hong Kong",22.4967185,114.124646,North District,0.221245706,1
324,Cheung Lung Wai Estate,????,1358,North District,"21 Ching Hiu Rd, Sheung Shui, Hong Kong",22.4949981,114.1235653,Alice Ho Miu Ling Nethersole Hospital,"11? Chuen On Rd, Tai Po, Hong Kong",22.458671,114.174827,Tai Po District,6.639517759,2
330,Cheung Lung Wai Estate,????,1358,North District,"21 Ching Hiu Rd, Sheung Shui, Hong Kong",22.4949981,114.1235653,Pok Oi Hospital,"Au Tau, Hong Kong",22.4454026,114.0419062,Yuen Long District,10.04358236,3
359,Cheung On Estate,???,1000,Kwai Tsing District,"1 Tam Kon Shan Rd, Tsing Yi, Hong Kong",22.3605076,114.1046833,Yan Chai Hospital,"7-11, Yan Chai St, Tsuen Wan, Hong Kong",22.369713,114.1195962,Tsuen Wan District,1.844260194,1
350,Cheung On Estate,???,1000,Kwai Tsing District,"1 Tam Kon Shan Rd, Tsing Yi, Hong Kong",22.3605076,114.1046833,Princess Margaret Hospital,"Princess Margaret Hospital, 2-10 Princess Margaret Hospital Road, Kwai Chung, Hong Kong",22.3415435,114.1338324,Kwai Tsing District,3.66614224,2
343,Cheung On Estate,???,1000,Kwai Tsing District,"1 Tam Kon Shan Rd, Tsing Yi, Hong Kong",22.3605076,114.1046833,Caritas Medical Centre,"Hong Kong, Sham Shui Po, Wing Hong St, 111????????",22.3414653,114.1531916,Sham Shui Po District,5.420938959,3
